player,hof_flag,final_mvp,all_stargame,championship_ring,league_mvp,assist,blocks,box_plus_minus,points,steals,total_rebounds,value_of_replacement,win_shares
Dennis Hopson,N,N,N,N,N,538.00,168.00,-11.70,3586.00,315.00,943.00,0.00,8.00
Dennis Johnson,Y,Y,Y,Y,N,5027.00,654.00,10.90,14814.00,1383.00,4059.00,1.80,80.00
Dennis Rodman,Y,N,Y,Y,N,1600.00,531.00,32.80,6683.00,611.00,11954.00,2.60,90.00
Dennis Schroder,N,N,N,N,N,1165.00,29.00,-4.50,3061.00,193.00,616.00,0.30,8.00
Dennis Scott,N,N,N,N,N,1067.00,171.00,-9.00,6764.00,405.00,1522.00,0.60,27.00
Denzel Valentine,N,N,N,N,N,63.00,7.00,-2.80,291.00,30.00,151.00,-0.20,1.00
DeQuan Jones,N,N,N,N,N,16.00,22.00,-6.10,233.00,19.00,105.00,-0.80,0.00
Derek Anderson,N,N,N,N,N,2041.00,89.00,1.40,7274.00,678.00,2003.00,1.10,44.00
Derek Fisher,N,N,N,Y,N,4021.00,105.00,-35.30,11238.00,1422.00,2816.00,0.40,64.00
Derek Harper,N,N,N,N,N,6813.00,308.00,13.80,16472.00,2037.00,2970.00,1.80,91.00
Derek Smith,N,N,N,N,N,723.00,162.00,-5.30,4584.00,242.00,1166.00,0.50,18.00
Derek Strong,N,N,N,N,N,258.00,82.00,-27.60,2871.00,185.00,2030.00,-0.30,17.00
DerMarr Johnson,N,N,N,N,N,239.00,119.00,-10.30,1707.00,154.00,590.00,0.20,6.00
Deron Williams,N,N,Y,N,N,7846.00,229.00,10.90,15814.00,977.00,3026.00,1.70,87.00
Derrek Dickey,N,N,N,N,N,221.00,42.00,-19.40,1303.00,97.00,1083.00,-0.10,7.00
Derrick Alston,N,N,N,N,N,94.00,87.00,-4.20,751.00,95.00,521.00,0.00,3.00
Derrick Brown,N,N,N,N,N,104.00,24.00,-2.00,743.00,72.00,350.00,0.10,4.00
Derrick Caracter,N,N,N,N,N,7.00,10.00,-4.90,81.00,4.00,43.00,-0.20,0.00
Derrick Chievous,N,N,N,N,N,114.00,18.00,-24.40,1135.00,80.00,379.00,-0.30,3.00
Derrick Coleman,N,N,Y,N,N,1939.00,1025.00,7.70,12604.00,583.00,7025.00,1.70,64.00
Derrick Dial,N,N,N,N,N,35.00,4.00,-4.70,101.00,10.00,56.00,-0.20,0.00
Derrick Favors,N,N,N,N,N,510.00,625.00,2.60,5479.00,388.00,3435.00,1.10,34.00
Derrick Gervin,N,N,N,N,N,38.00,26.00,-7.30,676.00,39.00,175.00,-0.40,2.00
Derrick Jones,N,N,N,N,N,12.00,13.00,-1.10,168.00,14.00,79.00,0.10,1.00
Derrick McKey,N,N,N,N,N,2254.00,611.00,25.10,10266.00,1072.00,4387.00,1.80,62.00
Derrick Rose,N,N,Y,N,Y,2516.00,155.00,1.00,8001.00,328.00,1489.00,1.50,31.00
Derrick Williams,N,N,N,N,N,376.00,131.00,-29.90,4681.00,257.00,2119.00,-0.30,18.00
DeSagana Diop,N,N,N,N,N,308.00,708.00,-16.80,1441.00,263.00,2627.00,0.40,16.00
DeShawn Stevenson,N,N,N,N,N,1503.00,156.00,-63.60,6684.00,467.00,2101.00,-0.40,13.00
Desmond Mason,N,N,N,N,N,1210.00,261.00,-25.90,8901.00,507.00,3373.00,-0.10,28.00
Desmond Penigar,N,N,N,N,N,3.00,2.00,-6.10,32.00,2.00,24.00,-0.10,0.00
Detlef Schrempf,N,N,Y,N,N,4012.00,331.00,24.10,16589.00,909.00,7418.00,2.00,114.00
Devean George,N,N,N,Y,N,528.00,219.00,-19.90,3389.00,413.00,1897.00,0.30,18.00
Devin Booker,N,N,N,N,N,468.00,41.00,-5.40,2774.00,116.00,436.00,-0.40,4.00
Devin Brown,N,N,N,N,N,749.00,65.00,-38.20,3769.00,300.00,1423.00,0.00,13.00
Devin Durrant,N,N,N,N,N,80.00,10.00,-5.20,300.00,19.00,124.00,-0.60,0.00
Devin Ebanks,N,N,N,N,N,24.00,12.00,-15.30,224.00,18.00,122.00,-0.20,1.00
Devin Harris,N,N,Y,N,N,4467.00,183.00,3.40,11599.00,1076.00,2254.00,0.90,61.00
Devyn Marble,N,N,N,N,N,29.00,3.00,-10.00,97.00,22.00,69.00,-0.20,0.00
Dewayne Dedmon,N,N,N,N,N,73.00,192.00,-13.50,1014.00,89.00,1223.00,0.10,10.00
DeWayne Scales,N,N,N,N,N,10.00,4.00,-8.20,215.00,12.00,132.00,-0.80,0.00
Dexter Cambridge,N,N,N,N,N,58.00,6.00,-3.30,370.00,24.00,167.00,-0.30,0.00
Dexter Pittman,N,N,N,N,N,9.00,8.00,-4.00,106.00,8.00,71.00,-0.20,1.00
Deyonta Davis,N,N,N,N,N,2.00,17.00,-3.60,58.00,3.00,60.00,-0.10,1.00
Diante Garrett,N,N,N,N,N,120.00,5.00,-5.20,248.00,41.00,97.00,-0.80,-1.00
Dick Garrett,N,N,N,N,N,37.00,2.00,-14.60,175.00,17.00,66.00,-0.40,0.00
Dick Gibbs,N,N,N,N,N,147.00,35.00,-15.70,1297.00,67.00,390.00,-0.70,3.00
Dick Snyder,N,N,N,N,N,1045.00,157.00,-8.10,4780.00,300.00,988.00,0.70,24.00
Dick Van,N,N,N,N,N,779.00,44.00,-7.90,3859.00,264.00,664.00,0.30,20.00
Dickey Simpkins,N,N,N,N,N,255.00,49.00,-26.40,986.00,60.00,894.00,-0.40,2.00
Didier Ilunga-Mbenga,N,N,N,N,N,23.00,80.00,-3.50,225.00,21.00,204.00,0.00,1.00
Dikembe Mutombo,Y,N,Y,N,N,1316.00,3481.00,27.10,12462.00,523.00,13341.00,2.10,125.00
Dino Radja,N,N,N,N,N,356.00,282.00,-5.20,3733.00,201.00,1883.00,0.60,14.00
Dion Glover,N,N,N,N,N,581.00,81.00,-21.00,3002.00,280.00,1152.00,-0.20,7.00
Dion Waiters,N,N,N,N,N,863.00,93.00,-16.60,4265.00,361.00,889.00,-0.30,7.00
Dionte Christmas,N,N,N,N,N,8.00,3.00,-3.60,71.00,2.00,38.00,-0.10,0.00
Dirk Minniefield,N,N,N,N,N,1383.00,21.00,-24.10,1892.00,312.00,582.00,-0.30,6.00
Dirk Nowitzki,N,Y,Y,N,Y,3496.00,1218.00,55.30,30260.00,1158.00,10893.00,3.50,201.00
Doc Rivers,N,N,Y,N,N,5043.00,372.00,35.30,9679.00,1624.00,2725.00,2.20,70.00
Domantas Sabonis,N,N,N,N,N,82.00,32.00,-4.90,479.00,39.00,287.00,-1.20,1.00
Dominic McGuire,N,N,N,N,N,382.00,154.00,-26.00,852.00,134.00,1059.00,0.10,4.00
Dominique Jones,N,N,N,N,N,42.00,5.00,-2.90,88.00,10.00,44.00,-0.10,0.00
Dominique Wilkins,Y,N,Y,N,N,2791.00,664.00,28.70,27864.00,1441.00,7474.00,2.70,124.00
Don Adams,N,N,N,N,N,439.00,55.00,-8.80,1793.00,283.00,1208.00,0.10,6.00
Don Buse,N,N,Y,N,N,2805.00,95.00,-0.10,4291.00,1116.00,1453.00,1.30,33.00
Don Chaney,N,N,N,N,N,893.00,206.00,-9.70,3128.00,528.00,1513.00,0.60,16.00
Don Collins,N,N,N,N,N,727.00,118.00,0.80,3857.00,427.00,1071.00,0.80,13.00
Don Ford,N,N,N,N,N,539.00,133.00,-13.80,2551.00,217.00,1401.00,0.00,11.00
Don Kojis,N,N,Y,N,N,120.00,16.00,-5.00,1122.00,89.00,422.00,0.20,5.00
Don MacLean,N,N,N,N,N,392.00,49.00,-29.40,3414.00,111.00,1164.00,-0.40,9.00
Don May,N,N,N,N,N,68.00,10.00,-10.10,457.00,29.00,149.00,-0.30,1.00
Don Nelson,Y,N,N,Y,N,343.00,28.00,2.30,2052.00,51.00,814.00,1.60,15.00
Don Reid,N,N,N,N,N,139.00,286.00,2.30,1430.00,185.00,1145.00,0.40,14.00
Donald Hodge,N,N,N,N,N,163.00,90.00,-23.70,1064.00,70.00,736.00,-0.40,1.00
Donald Royal,N,N,N,N,N,426.00,79.00,-26.70,2483.00,215.00,1202.00,-0.10,14.00
Donald Sloan,N,N,N,N,N,515.00,11.00,-19.20,882.00,65.00,343.00,-0.40,2.00
Donatas Motiejunas,N,N,N,N,N,270.00,81.00,-13.70,1826.00,118.00,949.00,0.00,7.00
Donell Taylor,N,N,N,N,N,90.00,7.00,-8.40,266.00,47.00,106.00,-0.20,0.00
Donnell Harvey,N,N,N,N,N,205.00,114.00,-17.90,1515.00,127.00,1093.00,-0.10,7.00
Donnie Boyce,N,N,N,N,N,13.00,4.00,-6.70,55.00,10.00,15.00,-0.20,0.00
Donnie Freeman,N,N,N,N,N,171.00,11.00,-1.80,689.00,57.00,180.00,0.10,2.00
Donny Marshall,N,N,N,N,N,31.00,5.00,-9.00,252.00,32.00,96.00,-0.20,1.00
Donta Smith,N,N,N,N,N,39.00,5.00,-3.50,127.00,23.00,52.00,-0.20,0.00
Dontae' Jones,N,N,N,N,N,5.00,3.00,-11.80,44.00,2.00,9.00,-0.20,0.00
Donte Greene,N,N,N,N,N,183.00,116.00,-17.20,1541.00,111.00,600.00,-0.50,2.00
Dontonio Wingfield,N,N,N,N,N,73.00,12.00,-1.30,376.00,34.00,241.00,0.20,2.00
Donyell Marshall,N,N,N,N,N,1509.00,1049.00,3.00,12729.00,917.00,7520.00,1.20,69.00
Dorell Wright,N,N,N,N,N,845.00,271.00,-2.90,4572.00,412.00,2072.00,0.80,26.00
Dorian Finney-Smith,N,N,N,N,N,67.00,25.00,-1.50,350.00,52.00,221.00,0.20,1.00
Doron Lamb,N,N,N,N,N,43.00,1.00,-4.60,191.00,11.00,49.00,-0.40,1.00
Doug Christie,N,N,N,N,N,3195.00,418.00,-0.50,9774.00,1637.00,3595.00,1.60,58.00
Doug Collins,N,N,Y,N,N,1326.00,110.00,-4.70,7279.00,511.00,1310.00,1.20,37.00
Doug Edwards,N,N,N,N,N,52.00,22.00,-8.80,160.00,15.00,135.00,-0.30,0.00
Doug Lee,N,N,N,N,N,27.00,4.00,-0.30,163.00,17.00,40.00,0.00,1.00
Doug McDermott,N,N,N,N,N,175.00,16.00,-14.40,1948.00,40.00,553.00,-0.40,8.00
Doug Overton,N,N,N,N,N,946.00,21.00,-55.00,1975.00,185.00,599.00,-0.60,1.00
Doug Roth,N,N,N,N,N,20.00,13.00,-3.70,81.00,8.00,120.00,-0.20,0.00
Doug Smith,N,N,N,N,N,396.00,150.00,-12.20,2323.00,221.00,1212.00,-0.30,3.00
Doug West,N,N,N,N,N,1273.00,182.00,-40.20,6396.00,443.00,1645.00,-0.20,17.00
Dragan Bender,N,N,N,N,N,23.00,22.00,-4.30,146.00,10.00,103.00,-0.30,0.00
Dragan Tarlac,N,N,N,N,N,31.00,19.00,-6.30,103.00,7.00,122.00,-0.70,0.00
Draymond Green,N,N,Y,Y,N,1627.00,415.00,15.90,3566.00,540.00,2684.00,3.30,33.00
Drazen Petrovic,Y,N,N,N,N,767.00,28.00,0.50,5004.00,302.00,761.00,1.20,24.00
Drew Barry,N,N,N,N,N,78.00,2.00,-7.00,93.00,17.00,55.00,-0.10,1.00
Drew Gooden,N,N,N,N,N,931.00,504.00,-45.10,9322.00,558.00,5813.00,0.00,42.00
Duane Causwell,N,N,N,N,N,225.00,689.00,-12.60,2346.00,193.00,1969.00,0.30,15.00
Duane Cooper,N,N,N,N,N,150.00,2.00,-8.40,156.00,18.00,50.00,-1.00,0.00
Duane Ferrell,N,N,N,N,N,396.00,68.00,-10.50,2916.00,223.00,800.00,0.10,13.00
Duck Williams,N,N,N,N,N,183.00,11.00,-4.40,506.00,100.00,106.00,-1.10,0.00
Dudley Bradley,N,N,N,N,N,1273.00,223.00,4.80,3482.00,1038.00,1192.00,0.90,18.00
Dwayne Jones,N,N,N,N,N,12.00,28.00,-6.30,92.00,11.00,171.00,0.00,1.00
Dwayne McClain,N,N,N,N,N,67.00,4.00,-4.80,157.00,38.00,30.00,-0.30,0.00
Dwayne Morton,N,N,N,N,N,18.00,15.00,-5.10,167.00,11.00,58.00,-0.30,0.00
Dwayne Schintzius,N,N,N,N,N,79.00,103.00,-23.90,535.00,27.00,487.00,-0.20,1.00
Dwight Davis,N,N,N,N,N,411.00,149.00,-8.00,2174.00,139.00,1428.00,0.30,9.00
Dwight Howard,N,N,Y,N,N,1426.00,1916.00,31.40,16652.00,931.00,12089.00,3.00,122.00
Dwight Jones,N,N,N,N,N,922.00,411.00,-29.90,6487.00,437.00,4493.00,0.10,27.00
Dwight Powell,N,N,N,N,N,111.00,75.00,-0.80,1086.00,113.00,678.00,0.50,9.00
Dwyane Wade,N,Y,Y,Y,N,5173.00,800.00,66.10,21317.00,1500.00,4397.00,4.10,117.00
E.C. Coleman,N,N,N,N,N,471.00,142.00,-7.40,2542.00,303.00,2144.00,0.20,13.00
E'Twaun Moore,N,N,N,N,N,648.00,95.00,-14.60,2489.00,229.00,667.00,-0.10,7.00
Earl Barron,N,N,N,N,N,60.00,31.00,-43.80,616.00,48.00,475.00,-0.40,-1.00
Earl Boykins,N,N,N,N,N,1566.00,30.00,-14.00,4446.00,303.00,668.00,0.00,22.00
Earl Clark,N,N,N,N,N,155.00,170.00,-39.20,1506.00,106.00,989.00,-0.30,3.00
Earl Cureton,N,N,N,N,N,768.00,391.00,-15.30,3941.00,354.00,3412.00,0.30,16.00
Earl Evans,N,N,N,N,N,37.00,1.00,-4.30,157.00,14.00,75.00,-0.20,0.00
Earl Monroe,Y,N,Y,N,N,1667.00,121.00,-6.60,7832.00,473.00,1236.00,1.00,34.00
Earl Tatum,N,N,N,N,N,333.00,99.00,-5.90,2193.00,278.00,572.00,0.10,5.00
Earl Watson,N,N,N,N,N,3568.00,159.00,-21.10,5660.00,810.00,1878.00,0.20,20.00
Earl Williams,N,N,N,N,N,125.00,61.00,-6.00,661.00,62.00,812.00,0.00,3.00
Ed Davis,N,N,N,N,N,435.00,513.00,8.40,3701.00,278.00,3279.00,1.10,34.00
Ed Gray,N,N,N,N,N,46.00,12.00,-13.50,373.00,27.00,73.00,-0.50,0.00
Ed Horton,N,N,N,N,N,19.00,5.00,-4.10,202.00,9.00,108.00,-0.20,0.00
Ed Nealy,N,N,N,N,N,277.00,37.00,-9.90,1096.00,186.00,1327.00,0.30,12.00
Ed O'Bannon,N,N,N,N,N,141.00,35.00,-20.60,869.00,102.00,464.00,-0.40,2.00
Ed Pinckney,N,N,N,N,N,890.00,503.00,8.10,6568.00,717.00,4583.00,1.00,50.00
Ed Rains,N,N,N,N,N,62.00,3.00,-7.00,287.00,28.00,124.00,-0.20,1.00
Ed Ratleff,N,N,N,N,N,896.00,143.00,-1.80,2813.00,430.00,1363.00,1.00,14.00
Ed Sherod,N,N,N,N,N,311.00,14.00,-0.30,395.00,96.00,149.00,0.70,3.00
Eddie Gill,N,N,N,N,N,132.00,8.00,-7.10,385.00,70.00,140.00,-0.10,1.00
Eddie Griffin,N,N,N,N,N,139.00,229.00,0.30,1191.00,75.00,914.00,0.90,7.00
Eddie House,N,N,N,N,N,869.00,54.00,-10.10,4372.00,389.00,970.00,0.30,18.00
Eddie Hughes,N,N,N,N,N,116.00,1.00,-2.50,209.00,48.00,70.00,-0.10,1.00
Eddie Johnson,N,N,Y,N,N,6232.00,269.00,-38.80,30071.00,1538.00,6411.00,0.60,111.00
Eddie Jones,N,N,Y,N,N,3107.00,648.00,53.40,15428.00,1813.00,4241.00,2.70,110.00
Eddie Jordan,N,N,N,N,N,1891.00,121.00,-17.60,4189.00,929.00,959.00,0.30,11.00
Eddie Lee,N,N,N,N,N,62.00,60.00,-42.20,1534.00,82.00,1002.00,-0.80,3.00
Eddie Phillips,N,N,N,N,N,29.00,8.00,-5.30,152.00,14.00,77.00,-0.40,0.00
Eddie Robinson,N,N,N,N,N,252.00,91.00,-9.60,1938.00,216.00,764.00,0.10,10.00
Eddy Curry,N,N,N,N,N,286.00,381.00,-24.20,6750.00,155.00,2692.00,-0.60,22.00
Edgar Jones,N,N,N,N,N,431.00,574.00,-9.70,4147.00,273.00,2302.00,0.30,19.00
Eduardo Najera,N,N,N,N,N,510.00,241.00,-9.90,3151.00,453.00,2372.00,0.50,25.00
Efthimi Rentzias,N,N,N,N,N,7.00,2.00,-4.70,52.00,6.00,26.00,-0.10,0.00
Ekpe Udoh,N,N,N,N,N,165.00,296.00,1.40,1032.00,127.00,785.00,0.40,7.00
Elden Campbell,N,N,N,N,N,1043.00,1468.00,-12.10,9567.00,641.00,5497.00,0.80,56.00
Eldridge Recasner,N,N,N,N,N,378.00,7.00,-5.70,1206.00,81.00,363.00,0.10,6.00
Elfrid Payton,N,N,N,N,N,1530.00,80.00,-1.10,2555.00,319.00,997.00,1.00,9.00
Elijah Millsap,N,N,N,N,N,58.00,16.00,-1.60,248.00,56.00,150.00,0.10,0.00
Elliot Perry,N,N,N,N,N,1430.00,18.00,-32.60,2893.00,508.00,642.00,-0.10,12.00
Elliot Williams,N,N,N,N,N,72.00,3.00,-5.70,404.00,35.00,130.00,-1.10,0.00
Elmer Bennett,N,N,N,N,N,8.00,1.00,-14.00,11.00,1.00,5.00,-0.20,0.00
Elmore Smith,N,N,N,N,N,505.00,1183.00,-4.30,4801.00,325.00,3832.00,1.00,29.00
Elmore Spencer,N,N,N,N,N,108.00,168.00,-14.70,909.00,52.00,542.00,-0.40,0.00
Elston Turner,N,N,N,N,N,593.00,21.00,-6.20,1660.00,291.00,919.00,0.30,7.00
Elton Brand,N,N,Y,N,N,2168.00,1813.00,32.50,16686.00,937.00,8976.00,2.80,109.00
Elvin Hayes,Y,N,Y,N,N,1540.00,1771.00,4.10,16600.00,864.00,9751.00,2.10,80.00
Emanual Davis,N,N,N,N,N,370.00,27.00,-15.80,1035.00,158.00,418.00,-0.10,2.00
Emeka Okafor,N,N,N,N,N,428.00,792.00,-2.60,5827.00,336.00,4759.00,0.90,35.00
Emmanuel Mudiay,N,N,N,N,N,589.00,48.00,-8.10,1475.00,106.00,410.00,-0.90,-2.00
Enes Kanter,N,N,N,N,N,293.00,194.00,-16.50,5688.00,176.00,3364.00,-0.20,31.00
Ennis Whatley,N,N,N,N,N,1650.00,42.00,-11.00,1996.00,350.00,612.00,-0.10,9.00
Eric Bledsoe,N,N,N,N,N,1635.00,178.00,13.40,4937.00,491.00,1360.00,1.90,23.00
Eric Fernsten,N,N,N,N,N,57.00,34.00,-8.30,411.00,44.00,286.00,0.10,3.00
Eric Gordon,N,N,N,N,N,1559.00,159.00,-5.70,8151.00,491.00,1251.00,0.60,26.00
Eric Johnson,N,N,N,N,N,64.00,2.00,-6.20,54.00,17.00,28.00,-0.30,0.00
Eric Leckner,N,N,N,N,N,254.00,164.00,-68.70,2193.00,101.00,1748.00,-0.50,6.00
Eric Maynor,N,N,N,N,N,1165.00,34.00,-50.60,1754.00,167.00,531.00,-0.50,5.00
Eric Mobley,N,N,N,N,N,58.00,57.00,-15.60,442.00,32.00,326.00,-0.40,0.00
Eric Money,N,N,N,N,N,2192.00,84.00,-19.00,6868.00,664.00,1153.00,0.20,18.00
Eric Montross,N,N,N,N,N,275.00,372.00,-48.80,2535.00,152.00,2847.00,-0.30,11.00
Eric Murdock,N,N,N,N,N,2735.00,76.00,1.80,5658.00,950.00,1405.00,1.20,28.00
Eric Piatkowski,N,N,N,N,N,635.00,90.00,-6.10,4898.00,336.00,1370.00,0.60,27.00
Eric Riley,N,N,N,N,N,60.00,132.00,-15.10,574.00,54.00,479.00,-0.10,3.00
Eric Snow,N,N,N,N,N,4172.00,105.00,-23.70,5676.00,947.00,2098.00,0.40,43.00
Eric Washington,N,N,N,N,N,108.00,43.00,-6.30,716.00,78.00,216.00,-0.50,0.00
Eric White,N,N,N,N,N,43.00,5.00,-12.30,494.00,27.00,202.00,-0.20,2.00
Eric Williams,N,N,N,N,N,824.00,87.00,-28.10,5020.00,497.00,1945.00,-0.20,20.00
Erick Barkley,N,N,N,N,N,34.00,1.00,-3.30,58.00,17.00,18.00,-0.10,0.00
Erick Dampier,N,N,N,N,N,726.00,1227.00,-3.30,6753.00,312.00,6593.00,0.90,52.00
Erick Strickland,N,N,N,N,N,1269.00,42.00,-13.50,3920.00,444.00,1393.00,0.20,14.00
Ernie DiGregorio,N,N,N,N,N,1509.00,15.00,-28.90,2862.00,183.00,592.00,-1.00,2.00
Ernie Grunfeld,N,N,N,N,N,1274.00,115.00,-6.20,4622.00,418.00,1621.00,0.50,24.00
Ersan Ilyasova,N,N,N,N,N,908.00,276.00,-2.80,8327.00,526.00,4370.00,0.80,45.00
Ervin Johnson,N,N,N,N,N,385.00,1085.00,-8.20,3458.00,470.00,5124.00,0.70,38.00
Essie Hollis,N,N,N,N,N,6.00,1.00,-4.60,69.00,11.00,45.00,-0.10,0.00
Esteban Batista,N,N,N,N,N,7.00,11.00,-6.60,101.00,15.00,144.00,-0.60,0.00
Etan Thomas,N,N,N,N,N,149.00,427.00,-33.70,2341.00,128.00,1927.00,-0.10,15.00
Eugene Jeter,N,N,N,N,N,162.00,2.00,-5.40,255.00,29.00,70.00,-0.70,1.00
Evan Eschmeyer,N,N,N,N,N,67.00,86.00,-0.50,359.00,59.00,503.00,0.20,3.00
Evan Fournier,N,N,N,N,N,691.00,16.00,-6.10,3918.00,255.00,824.00,0.40,13.00
Evan Turner,N,N,N,N,N,2230.00,136.00,-21.30,6750.00,510.00,3076.00,-0.10,17.00
Everette Stephens,N,N,N,N,N,37.00,4.00,-7.30,65.00,9.00,23.00,-0.30,0.00
Evers Burns,N,N,N,N,N,9.00,3.00,-4.80,56.00,6.00,30.00,-0.10,0.00
Fabricio Oberto,N,N,N,N,N,249.00,66.00,2.60,991.00,78.00,1063.00,0.90,13.00
Fat Lever,N,N,Y,N,N,4684.00,206.00,31.60,10404.00,1660.00,4508.00,3.40,61.00
Fatty Taylor,N,N,N,N,N,288.00,9.00,0.30,301.00,132.00,211.00,0.90,2.00
Felipe Lopez,N,N,N,N,N,286.00,74.00,-12.80,1618.00,182.00,678.00,-0.10,4.00
Felton Spencer,N,N,N,N,N,229.00,564.00,-31.60,3591.00,269.00,3726.00,-0.30,21.00
Fernando Martin,N,N,N,N,N,9.00,1.00,-8.70,22.00,7.00,28.00,-0.20,0.00
Festus Ezeli,N,N,N,N,N,54.00,124.00,-1.50,511.00,41.00,570.00,0.30,4.00
Foots Walker,N,N,N,N,N,3111.00,83.00,2.20,4199.00,992.00,1686.00,1.10,31.00
Francisco Elson,N,N,N,N,N,257.00,254.00,-20.70,1712.00,226.00,1623.00,0.10,12.00
Francisco Garcia,N,N,N,N,N,810.00,426.00,-9.20,4644.00,487.00,1491.00,0.40,20.00
Frank Brickowski,N,N,N,N,N,1568.00,299.00,-12.60,7983.00,693.00,3644.00,0.60,31.00
Frank Johnson,N,N,N,N,N,2237.00,36.00,-18.10,4490.00,507.00,916.00,0.00,16.00
Frank Kaminsky,N,N,N,N,N,260.00,77.00,-2.70,1480.00,85.00,671.00,0.30,6.00
Frank Kornet,N,N,N,N,N,9.00,1.00,-6.40,58.00,5.00,24.00,-0.20,0.00
Frank Oleynick,N,N,N,N,N,113.00,10.00,-14.40,508.00,34.00,90.00,-0.80,0.00
Frank Williams,N,N,N,N,N,166.00,11.00,-18.10,253.00,34.00,77.00,-0.30,0.00
Frankie Sanders,N,N,N,N,N,121.00,13.00,-13.90,616.00,58.00,241.00,-0.10,1.00
Franklin Edwards,N,N,N,N,N,707.00,21.00,-23.10,1683.00,227.00,276.00,-0.40,4.00
Fred Brown,N,N,Y,N,N,2468.00,164.00,9.30,12213.00,1100.00,2220.00,1.70,59.00
Fred Carter,N,N,N,N,N,1401.00,74.00,-15.30,5873.00,410.00,1244.00,0.30,11.00
Fred Cofield,N,N,N,N,N,82.00,3.00,-5.80,165.00,20.00,46.00,-0.50,0.00
Fred Foster,N,N,N,N,N,165.00,8.00,-9.10,781.00,41.00,218.00,-0.60,1.00
Fred Hoiberg,N,N,N,N,N,842.00,59.00,6.00,2925.00,428.00,1427.00,0.80,28.00
Fred Jones,N,N,N,N,N,744.00,99.00,-3.50,2690.00,259.00,790.00,0.60,14.00
Fred Roberts,N,N,N,N,N,769.00,205.00,-23.40,4759.00,316.00,1869.00,0.20,23.00
Fred Saunders,N,N,N,N,N,270.00,51.00,-22.30,1331.00,114.00,735.00,-0.20,4.00
Fred VanVleet,N,N,N,N,N,35.00,2.00,-3.20,107.00,17.00,42.00,-0.10,0.00
Freddie Boyd,N,N,N,N,N,763.00,36.00,-28.80,2096.00,211.00,353.00,-0.70,3.00
Freddie Lewis,N,N,N,N,N,56.00,2.00,-5.00,224.00,18.00,47.00,-0.40,1.00
Freeman Williams,N,N,N,N,N,264.00,9.00,-21.70,2492.00,146.00,256.00,-0.30,6.00
Furkan Aldemir,N,N,N,N,N,28.00,16.00,-0.70,93.00,17.00,176.00,0.20,1.00
Gabe Pruitt,N,N,N,N,N,39.00,3.00,-2.70,93.00,15.00,43.00,-0.10,0.00
Gail Goodrich,Y,N,Y,N,N,2013.00,70.00,-2.10,7407.00,523.00,1043.00,1.10,27.00
Gal Mekel,N,N,N,N,N,63.00,1.00,-9.20,73.00,4.00,27.00,-0.50,0.00
Gar Heard,N,N,N,N,N,1250.00,876.00,-1.80,6109.00,901.00,5522.00,0.90,29.00
Garret Siler,N,N,N,N,N,3.00,4.00,-4.20,45.00,1.00,28.00,-0.10,0.00
Garrett Temple,N,N,N,N,N,629.00,99.00,-18.50,1923.00,313.00,745.00,0.20,8.00
Garry Witts,N,N,N,N,N,38.00,4.00,-0.20,132.00,17.00,62.00,0.20,1.00
Gary Brokaw,N,N,N,N,N,697.00,95.00,-14.50,1942.00,106.00,405.00,-0.20,5.00
Gary Forbes,N,N,N,N,N,49.00,6.00,-3.00,326.00,23.00,116.00,-0.20,1.00
Gary Garland,N,N,N,N,N,145.00,4.00,-3.50,334.00,54.00,138.00,-0.40,1.00
Gary Grant,N,N,N,N,N,2166.00,48.00,-11.60,2802.00,540.00,862.00,0.10,11.00
Gary Harris,N,N,N,N,N,340.00,33.00,-2.60,1971.00,207.00,462.00,0.80,8.00
Gary Melchionni,N,N,N,N,N,298.00,21.00,-6.30,1074.00,89.00,329.00,-0.40,4.00
Gary Neal,N,N,N,N,N,569.00,11.00,-15.90,3331.00,143.00,763.00,-0.10,10.00
Gary Payton,N,N,Y,N,N,13.00,4.00,-6.70,20.00,3.00,12.00,-0.10,0.00
Gary Payton,Y,N,Y,N,N,9629.00,305.00,55.30,23447.00,2578.00,5603.00,3.50,155.00
Gary Plummer,N,N,N,N,N,66.00,25.00,-12.20,531.00,29.00,307.00,-0.80,0.00
Gary Trent,N,N,N,N,N,576.00,201.00,-22.60,4996.00,258.00,2614.00,0.20,27.00
Gaylon Nickerson,N,N,N,N,N,1.00,1.00,-7.00,15.00,1.00,5.00,-0.10,0.00
Gene Banks,N,N,N,N,N,1335.00,101.00,10.90,5305.00,436.00,2718.00,2.20,31.00
Gene Short,N,N,N,N,N,18.00,6.00,-13.40,155.00,16.00,89.00,-0.30,0.00
Geoff Crompton,N,N,N,N,N,1.00,1.00,-10.70,5.00,1.00,9.00,-0.10,0.00
Geoff Huston,N,N,N,N,N,2779.00,39.00,-34.10,5298.00,375.00,804.00,-0.80,14.00
Geoff Petrie,N,N,Y,N,N,1069.00,33.00,-5.60,4599.00,247.00,585.00,0.10,15.00
George Gervin,Y,N,Y,N,N,2214.00,670.00,12.50,20708.00,941.00,3607.00,2.30,88.00
George Hill,N,N,N,N,N,2002.00,176.00,19.30,7039.00,555.00,1924.00,2.00,54.00
George Johnson,N,N,N,N,N,1718.00,2197.00,5.60,8201.00,836.00,8065.00,0.80,47.00
George Lynch,N,N,N,N,N,982.00,236.00,5.10,4654.00,738.00,3519.00,1.20,30.00
