player,hof_flag,final_mvp,all_stargame,championship_ring,league_mvp,assist,blocks,box_plus_minus,points,steals,total_rebounds,value_of_replacement,win_shares
Tom Burleson,N,N,N,N,N,601.00,591.00,-4.90,4190.00,312.00,2794.00,0.90,23.00
Tom Chambers,N,N,Y,N,N,2279.00,627.00,-8.60,20024.00,882.00,6687.00,1.00,79.00
Tom Copa,N,N,N,N,N,3.00,6.00,-4.50,48.00,2.00,36.00,-0.10,0.00
Tom Garrick,N,N,N,N,N,871.00,25.00,-16.10,1388.00,273.00,510.00,-0.10,6.00
Tom Gugliotta,N,N,Y,N,N,2482.00,566.00,5.00,11032.00,1242.00,6348.00,1.20,44.00
Tom Hammonds,N,N,N,N,N,393.00,144.00,-53.30,3815.00,185.00,2335.00,-0.50,16.00
Tom Henderson,N,N,N,N,N,3734.00,93.00,-17.70,7063.00,898.00,1733.00,0.30,27.00
Tom Ingelsby,N,N,N,N,N,37.00,4.00,-5.90,129.00,19.00,44.00,-0.40,0.00
Tom Kozelko,N,N,N,N,N,74.00,9.00,-7.10,266.00,47.00,222.00,-0.30,1.00
Tom Kropp,N,N,N,N,N,39.00,1.00,-3.50,174.00,18.00,47.00,-0.20,1.00
Tom LaGarde,N,N,N,N,N,456.00,131.00,-13.60,2375.00,94.00,1591.00,-0.10,7.00
Tom McMillen,N,N,N,N,N,786.00,165.00,-32.30,5988.00,194.00,2970.00,-0.20,27.00
Tom Owens,N,N,N,N,N,984.00,259.00,-0.20,5612.00,230.00,3010.00,1.30,33.00
Tom Scheffler,N,N,N,N,N,11.00,11.00,-4.60,52.00,8.00,76.00,-0.20,0.00
Tom Sewell,N,N,N,N,N,6.00,1.00,-13.10,20.00,3.00,4.00,-0.20,0.00
Tom Tolbert,N,N,N,N,N,225.00,84.00,-7.00,1699.00,91.00,1050.00,-0.10,7.00
Tom Van,N,N,N,N,N,845.00,19.00,-16.40,5678.00,308.00,1290.00,-0.60,14.00
Tomas Satoransky,N,N,N,N,N,92.00,6.00,-3.10,154.00,26.00,83.00,-0.20,1.00
Tommie Green,N,N,N,N,N,140.00,6.00,-5.20,232.00,61.00,68.00,-0.70,0.00
Toney Douglas,N,N,N,N,N,1084.00,34.00,-12.80,3694.00,428.00,1078.00,0.30,15.00
Toni Kukoc,N,N,N,N,N,3583.00,329.00,37.30,11361.00,942.00,4087.00,1.70,68.00
Tony Allen,N,N,N,N,N,1068.00,334.00,12.30,6551.00,1147.00,2837.00,1.10,39.00
Tony Battie,N,N,N,N,N,525.00,733.00,-23.80,4946.00,408.00,4227.00,0.20,35.00
Tony Bennett,N,N,N,N,N,163.00,1.00,-3.40,248.00,39.00,90.00,-0.30,1.00
Tony Brown,N,N,N,N,N,455.00,31.00,-6.20,1612.00,172.00,564.00,0.10,4.00
Tony Campbell,N,N,N,N,N,1086.00,170.00,-30.20,8406.00,621.00,2276.00,0.10,22.00
Tony Delk,N,N,N,N,N,1358.00,100.00,-18.90,6507.00,586.00,1775.00,0.20,24.00
Tony Dumas,N,N,N,N,N,146.00,16.00,-18.20,934.00,62.00,145.00,-0.40,1.00
Tony Farmer,N,N,N,N,N,74.00,16.00,-0.50,465.00,66.00,295.00,0.40,3.00
Tony Fuller,N,N,N,N,N,28.00,1.00,-5.00,60.00,10.00,42.00,-0.20,0.00
Tony Massenburg,N,N,N,N,N,296.00,341.00,-67.80,4748.00,288.00,3291.00,-0.60,17.00
Tony Mitchell,N,N,N,N,N,2.00,3.00,1.30,22.00,6.00,26.00,0.10,0.00
Tony Parker,N,Y,Y,Y,N,6299.00,88.00,14.10,17546.00,959.00,3089.00,1.80,105.00
Tony Robertson,N,N,N,N,N,103.00,5.00,-3.10,373.00,74.00,70.00,-0.30,1.00
Tony Smith,N,N,N,N,N,871.00,79.00,-23.10,2487.00,312.00,732.00,-0.10,7.00
Tony Snell,N,N,N,N,N,289.00,57.00,-9.40,1802.00,131.00,747.00,0.00,8.00
Tony White,N,N,N,N,N,59.00,2.00,-7.50,261.00,20.00,31.00,-0.80,0.00
Tony Wroten,N,N,N,N,N,417.00,28.00,-10.30,1537.00,134.00,342.00,-0.40,-1.00
Tony Zeno,N,N,N,N,N,1.00,3.00,-12.10,14.00,4.00,14.00,-0.20,0.00
Tornike Shengelia,N,N,N,N,N,26.00,2.00,-13.90,54.00,5.00,30.00,-0.20,0.00
Tracy Jackson,N,N,N,N,N,154.00,17.00,-8.60,858.00,89.00,293.00,-0.10,3.00
Tracy McGrady,N,N,Y,N,N,4254.00,819.00,47.00,18607.00,1151.00,5365.00,3.20,98.00
Tracy Moore,N,N,N,N,N,95.00,8.00,-5.50,637.00,53.00,134.00,-0.20,1.00
Tracy Murray,N,N,N,N,N,535.00,168.00,-42.10,6312.00,375.00,1740.00,0.10,25.00
Trajan Langdon,N,N,N,N,N,141.00,14.00,-4.30,598.00,51.00,144.00,0.10,3.00
Travis Best,N,N,N,N,N,2619.00,66.00,-15.00,5678.00,718.00,1319.00,0.40,33.00
Travis Diener,N,N,N,N,N,373.00,9.00,-3.00,662.00,61.00,201.00,0.10,4.00
Travis Hansen,N,N,N,N,N,19.00,9.00,-5.00,123.00,10.00,70.00,-0.40,0.00
Travis Knight,N,N,N,N,N,224.00,220.00,-18.90,1276.00,136.00,1160.00,0.10,8.00
Travis Mays,N,N,N,N,N,325.00,14.00,-6.80,1256.00,102.00,231.00,-0.30,2.00
Travis Outlaw,N,N,N,N,N,504.00,350.00,-27.50,5146.00,311.00,1932.00,-0.10,16.00
Travis Wear,N,N,N,N,N,40.00,11.00,-6.10,199.00,15.00,106.00,-0.70,0.00
Travis Williams,N,N,N,N,N,20.00,5.00,-1.30,136.00,18.00,92.00,0.10,1.00
Tree Rollins,N,N,N,N,N,627.00,2453.00,16.10,6063.00,492.00,6502.00,1.50,63.00
Tremaine Fowlkes,N,N,N,N,N,23.00,2.00,-1.30,164.00,25.00,103.00,0.10,1.00
Trent Tucker,N,N,N,N,N,1532.00,88.00,1.90,6236.00,679.00,1520.00,0.80,34.00
Trenton Hassell,N,N,N,N,N,1001.00,231.00,-32.30,3183.00,240.00,1654.00,-0.20,13.00
Trevor Ariza,N,N,N,N,N,1931.00,299.00,21.40,9468.00,1395.00,4441.00,1.60,54.00
Trevor Booker,N,N,N,N,N,484.00,256.00,1.70,3251.00,328.00,2613.00,0.80,23.00
Trevor Ruffin,N,N,N,N,N,317.00,4.00,-5.80,1011.00,57.00,155.00,-0.20,1.00
Trevor Wilson,N,N,N,N,N,143.00,22.00,-16.30,936.00,76.00,558.00,-0.30,1.00
Trey Burke,N,N,N,N,N,824.00,26.00,-10.10,2153.00,118.00,459.00,-0.30,4.00
Trey Johnson,N,N,N,N,N,11.00,1.00,-8.30,28.00,1.00,7.00,-0.10,0.00
Trey Lyles,N,N,N,N,N,129.00,38.00,-5.80,928.00,52.00,534.00,-0.30,3.00
Tristan Thompson,N,N,N,N,N,313.00,329.00,-2.30,3417.00,198.00,3273.00,1.00,29.00
Troy Daniels,N,N,N,N,N,89.00,8.00,-9.10,969.00,38.00,190.00,-0.20,3.00
Troy Hudson,N,N,N,N,N,1423.00,30.00,-25.50,3834.00,218.00,685.00,-0.40,10.00
Troy Murphy,N,N,N,N,N,1224.00,332.00,-12.90,8558.00,521.00,6148.00,0.70,54.00
Troy Williams,N,N,N,N,N,25.00,10.00,-2.70,185.00,27.00,69.00,-0.10,0.00
Truck Robinson,N,N,Y,N,N,1394.00,582.00,-12.60,13359.00,575.00,8099.00,0.60,58.00
Ty Lawson,N,N,N,N,N,3294.00,56.00,-2.20,6744.00,631.00,1471.00,1.20,39.00
Tyler Ennis,N,N,N,N,N,313.00,11.00,-22.80,654.00,87.00,184.00,-0.50,0.00
Tyler Hansbrough,N,N,N,N,N,164.00,72.00,-16.30,2569.00,179.00,1521.00,-0.20,17.00
Tyler Johnson,N,N,N,N,N,354.00,67.00,0.80,1506.00,141.00,483.00,0.80,9.00
Tyler Ulis,N,N,N,N,N,226.00,5.00,-4.00,444.00,48.00,95.00,-0.60,1.00
Tyler Zeller,N,N,N,N,N,316.00,203.00,-10.00,2384.00,88.00,1487.00,0.10,14.00
Tyreke Evans,N,N,N,N,N,2417.00,187.00,5.60,7631.00,619.00,2254.00,1.40,24.00
Tyrone Corbin,N,N,N,N,N,2154.00,321.00,-2.70,11303.00,1418.00,5996.00,1.10,67.00
